country_code;unicode;format
AED;1583;#,0.00 ((symbol))
AFN;1547;#,0.00 ((symbol))
ALL;76;((symbol)) #,0.00
AMD;1423;((symbol)) #,0.00
ANG;402;((symbol)) #,0.00
AOA;75;((symbol)) #,0.00
ARS;36;((symbol)) #,0.00
AUD;36;((symbol)) #,0.00
AWG;402;((symbol)) #,0.00
AZN;1084;((symbol)) #,0.00
BAM;75;((symbol)) #,0.00
BBD;36;((symbol)) #,0.00
BDT;2547;((symbol)) #,0.00
BGN;1083;((symbol)) #,0.00
BHD;46;0.00 ((symbol))
BIF;70;((symbol)) #,0
BMD;36;((symbol)) #,0.00
BND;36;((symbol)) #,0.00
BOB;36;((symbol)) #,0.00
BRL;82;((symbol)) #,0.00
BSD;36;((symbol)) #,0.00
BTN;78;((symbol)) #,0.00
BWP;80;((symbol)) #,0.00
BZD;66;((symbol)) #,0.00
CAD;36;((symbol)) #,0.00
CDF;70;((symbol)) #,0.00
CHF;67;((symbol)) #,0.00
CLP;36;((symbol)) #,0
CNY;165;((symbol)) #,0.00
COP;36;COL((symbol)) #,0.00
CRC;8353;((symbol)) #,0.00
CUC;36;((symbol)) #,0.00
CUP;8369;((symbol)) #,0.00
CVE;69;((symbol)) #,0.00
CZK;75;((symbol)) #,0.00
DJF;70;((symbol)) #,0
DKK;107;((symbol)) #,0.00
DOP;82;((symbol)) #,0.00
DZD;1583;0.00 ((symbol))
EGP;163;((symbol)) #,0.00
ERN;78;((symbol)) #,0.00
ETB;66;((symbol)) #,0.00
EUR;8364;((symbol)) #,0.00
FJD;36;((symbol)) #,0.00
FKP;163;((symbol)) #,0.00
GBP;163;((symbol)) #,0.00
GEL;4314;((symbol)) #,0.00
GHS;8373;((symbol)) #,0.00
GIP;163;((symbol)) #,0.00
GMD;68;((symbol)) #,0.00
GNF;71;((symbol)) #,0
GTQ;81;((symbol)) #,0.00
GYD;36;((symbol)) #,0.00
HKD;36;((symbol)) #,0.00
HNL;76;((symbol)) #,0.00
HRK;107;((symbol)) #,0.00
HTG;71;((symbol)) #,0.00
HUF;70;((symbol)) #,0.00
IDR;82;((symbol)) #,0.00
ILS;8362;((symbol)) #,0.00
INR;8377;((symbol)) #,0.00
IQD;1593;0.00 ((symbol))
IRR;65020;0.00 ((symbol))
ISK;107;((symbol)) #,0
JMD;74;((symbol)) #,0.00
JOD;1583;0.00 ((symbol))
JPY;165;((symbol)) #,0.00
KES;83;((symbol)) #,0.00
KGS;1083;((symbol)) #,0.00
KHR;6107;((symbol)) #,0.00
KMF;67;((symbol)) #,0
KPW;8361;((symbol)) #,0.00
KRW;8361;((symbol)) #,0
KWD;1583;0.00 ((symbol))
KYD;36;((symbol)) #,0.00
KZT;8376;((symbol)) #,0.00
LAK;8365;((symbol)) #,0.00
LBP;1604;0.00 ((symbol))
LKR;3515;((symbol)) #,0.00
LRD;36;((symbol)) #,0.00
LSL;76;((symbol)) #,0.00
LYD;1604;0.00 ((symbol))
MAD;1583;0.00 ((symbol))
MDL;76;((symbol)) #,0.00
MGA;65;((symbol)) #,0.00
MKD;1076;((symbol)) #,0.00
MMK;75;((symbol)) #,0.00
MNT;8366;((symbol)) #,0.00
MOP;80;((symbol)) #,0.00
MUR;8360;((symbol)) #,0.00
MVR;46;((symbol)) #,0.00
MWK;77;((symbol)) #,0.00
MXN;36;((symbol)) #,0.00
MYR;82;((symbol)) #,0.00
MZN;77;((symbol)) #,0.00
NAD;36;((symbol)) #,0.00
NGN;8358;((symbol)) #,0.00
NIO;67;((symbol)) #,0.00
NOK;107;((symbol)) #,0.00
NPR;8360;((symbol)) #,0.00
NZD;36;((symbol)) #,0.00
OMR;1585;0.00 ((symbol))
PAB;66;((symbol)) #,0.00
PEN;83;((symbol)) #,0.00
PGK;75;((symbol)) #,0.00
PHP;8369;((symbol)) #,0.00
PKR;8360;((symbol)) #,0.00
PLN;122;((symbol)) #,0.00
PYG;8370;((symbol)) #,0
QAR;1585;0.00 ((symbol))
RON;108;((symbol)) #,0.00
RSD;1044;((symbol)) #,0.00
RUB;1088;((symbol)) #,0.00
RWF;82;((symbol)) #,0
SAR;1585;0.00 ((symbol))
SBD;36;((symbol)) #,0.00
SCR;8360;((symbol)) #,0.00
SDG;163;((symbol)) #,0.00
SEK;107;((symbol)) #,0.00
SGD;36;((symbol)) #,0.00
SHP;163;((symbol)) #,0.00
SLL;76;((symbol)) #,0.00
SOS;83;((symbol)) #,0.00
SRD;36;((symbol)) #,0.00
SSP;163;((symbol)) #,0.00
SVC;36;((symbol)) #,0.00
SYP;1604;0.00 ((symbol))
SZL;76;((symbol)) #,0.00
THB;3647;((symbol)) #,0.00
TJS;83;((symbol)) #,0.00
TMT;109;((symbol)) #,0.00
TND;1583;0.00 ((symbol))
TOP;84;((symbol)) #,0.00
TRY;8378;((symbol)) #,0.00
TTD;84;((symbol)) #,0.00
TWD;78;((symbol)) #,0.00
TZS;83;((symbol)) #,0.00
UAH;8372;((symbol)) #,0.00
UGX;83;((symbol)) #,0
USD;36;((symbol)) #,0.00
UYU;36;((symbol)) #,0.00
UZS;1083;((symbol)) #,0.00
VND;8363;((symbol)) #,0
VUV;86;((symbol)) #,0
WST;84;((symbol)) #,0.00
YER;65020;0.00 ((symbol))
ZAR;82;((symbol)) #,0.00
ZMW;90;((symbol)) #,0.00
